"id.time2","level_2"
"AC004893.11","0.134272540962624"
"AC004895.4","0.137895235001842"
"AC004901.1","0.138485480275802"
"AC004906.3","0.136562073354018"
"AC004920.3","0.134930341224736"
"AC004941.3","0.138405601955291"
"AC004947.2","0.137895235001842"
"AC004951.6","0.135768602243249"
"AC004988.1","0.135857031057219"
"AC005009.1","0.138480047011034"
"AC005009.2","0.139005899596189"
"AC005013.5","0.138083485156067"
"AC005019.3","0.138502408750336"
"AC005037.3","0.13828624529757"
"AC005042.4","0.138502408750336"
"AC005076.5","0.137234087632024"
"AC005082.12","0.136652807915165"
"AC005104.3","0.135572692658482"
"AC005150.1","0.135768602243249"
"AC005152.3","0.137191254754177"
"AC005162.5","0.13790388150286"
"AC005197.2","0.137470340820322"
"AC005220.3","0.134385654436883"
"AC005224.2","0.134089126369048"
"AC005235.1","0.137008029120556"
"AC005237.4","0.134930341224736"
"AC005253.2","0.135800264404046"
"AC005253.4","0.132788965204969"
"AC005256.1","0.13828624529757"
"AC005262.2","0.13545831733162"
"AC005264.2","0.136300150852688"
"AC005276.1","0.137470340820322"
"AC005281.1","0.137995597408702"
"AC005281.2","0.136652807915165"
"AC005301.8","0.137008029120556"
"AC005304.1","0.137191254754177"
"AC005307.1","0.136524970131537"
"AC005307.3","0.135572692658482"
"AC005324.6","0.138267601611071"
"AC005329.7","0.137470340820322"
"AC005330.2","0.13790388150286"
"AC005339.2","0.135800264404046"
"AC005355.1","0.137191254754177"
"AC005355.2","0.13790388150286"
"AC005358.3","0.137008029120556"
"AC005363.11","0.138041787141211"
"AC005387.2","0.137191254754177"
"AC005387.3","0.138779326304021"
"AC005477.1","0.136300150852688"
"AC005480.1","0.134272540962624"
"AC005481.5","0.138779326304021"
"AC005487.2","0.136453915293046"
"AC005498.3","0.136524970131537"
"AC005498.4","0.137895235001842"
"AC005522.7","0.136562073354018"
"AC005523.2","0.136355564745913"
"AC005523.3","0.138842467131473"
"AC005534.8","0.136562073354018"
"AC005537.2","0.136317015690968"
"AC005540.3","0.137008029120556"
"AC005546.2","0.134581694869421"
"AC005550.3","0.136652807915165"
"AC005592.1","0.135590601959882"
"AC005592.2","0.13644757432775"
"AC005592.3","0.138405601955291"
"AC005597.1","0.13313686741649"
"AC005606.14","0.137501831634967"
"AC005606.15","0.135768602243249"
"AC005609.16","0.137470340820322"
"AC005609.17","0.137852577044899"
"AC005609.18","0.134135236236894"
"AC005609.20","0.134135236236894"
"AC005614.3","0.136524970131537"
"AC005616.1","0.136300150852688"
"AC005616.2","0.137087984045193"
"AC005618.6","0.135857031057219"
"AC005618.9","0.137912391804649"
"AC005624.2","0.136317015690968"
"AC005625.1","0.137470340820322"
"AC005703.2","0.135352174316319"
"AC005703.3","0.136562073354018"
"AC005740.5","0.135857031057219"
"AC005740.6","0.13790388150286"
"AC005754.7","0.1385869734998"
"AC005754.8","0.137895235001842"
"AC005757.6","0.138041787141211"
"AC005775.2","0.138502408750336"
"AC005779.2","0.136437724395638"
"AC005780.1","0.137501831634967"
"AC005786.5","0.137234087632024"
"AC005786.7","0.137501831634967"
"AC005808.3","0.13790388150286"
"AC005863.1","0.135590601959882"
"AC005932.1","0.137470340820322"
"AC005944.2","0.136300150852688"
"AC005954.4","0.13790388150286"
"AC006004.1","0.136317015690968"
"AC006019.4","0.137008029120556"
"AC006026.2","0.138779326304021"
"AC006041.1","0.138779326304021"
"AC006042.6","0.137895235001842"
"AC006042.7","0.136526414114414"
"AC006116.12","0.137895235001842"
"AC006116.17","0.13790388150286"
"AC006116.21","0.135352174316319"
"AC006126.3","0.134930341224736"
"AC006126.4","0.137895235001842"
"AC006129.1","0.136317015690968"
"AC006129.2","0.136526414114414"
"AC006145.4","0.138083485156067"
"AC006159.4","0.137234087632024"
"AC006160.5","0.138485480275802"
"AC006262.10","0.13828624529757"
"AC006262.4","0.137952431584426"
"AC006262.5","0.134581694869421"
"AC006272.1","0.136526414114414"
"AC006272.2","0.135768602243249"
"AC006273.4","0.136317015690968"
"AC006273.5","0.138083485156067"
"AC006277.2","0.137008029120556"
"AC006296.1","0.137470340820322"
"AC006296.2","0.138083485156067"
"AC006369.2","0.136355564745913"
"AC006369.3","0.137501831634967"
"AC006372.4","0.138083485156067"
"AC006372.5","0.136317015690968"
"AC006372.6","0.135590601959882"
"AC006373.1","0.138502408750336"
"AC006378.2","0.135768602243249"
"AC006380.3","0.138405601955291"
"AC006449.2","0.13711142047723"
"AC006460.2","0.135590601959882"
"AC006482.1","0.136300150852688"
"AC006486.9","0.136300150852688"
"AC006547.13","0.139315850837671"
"AC006547.15","0.136526414114414"
"AC006547.8","0.138807115813837"
"AC006552.1","0.13644757432775"
"AC006942.4","0.136317015690968"
"AC006946.15","0.137912391804649"
"AC006946.16","0.136562073354018"
"AC006946.17","0.13790388150286"
"AC006994.2","0.137912391804649"
"AC006994.3","0.137912391804649"
"AC007009.1","0.135590601959882"
"AC007036.6","0.136524970131537"
"AC007038.7","0.137895235001842"
"AC007040.11","0.134581694869421"
"AC007040.6","0.133246269690045"
"AC007040.8","0.13790388150286"
"AC007050.17","0.136562073354018"
"AC007064.24","0.137895235001842"
"AC007078.4","0.136562073354018"
"AC007091.1","0.13841687961594"
"AC007098.1","0.133246269690045"
"AC007099.1","0.135590601959882"
"AC007126.1","0.136300150852688"
"AC007128.1","0.139315850837671"
"AC007131.1","0.136355564745913"
"AC007131.2","0.13841687961594"
"AC007161.5","0.139315850837671"
"AC007163.3","0.138942553870703"
"AC007163.6","0.13790388150286"
"AC007182.6","0.137501831634967"
"AC007192.4","0.136562073354018"
"AC007192.6","0.13790388150286"
"AC007193.10","0.138041787141211"
"AC007193.8","0.137008029120556"
"AC007193.9","0.134581694869421"
"AC007204.2","0.135800264404046"
"AC007228.11","0.136355564745913"
"AC007228.5","0.136300150852688"
"AC007228.9","0.137501831634967"
"AC007246.3","0.137470340820322"
"AC007249.3","0.13644757432775"
"AC007250.4","0.138405601955291"
"AC007255.8","0.137234087632024"
"AC007271.3","0.137191254754177"
"AC007277.3","0.137912391804649"
"AC007285.6","0.137234087632024"
"AC007292.3","0.1385869734998"
"AC007292.4","0.137895235001842"
"AC007292.6","0.137008029120556"
"AC007292.7","0.13841687961594"
"AC007308.7","0.140544437949694"
"AC007319.1","0.138405601955291"
"AC007325.1","0.135800264404046"
"AC007325.2","0.138041787141211"
"AC007325.4","0.136652807915165"
"AC007326.10","0.138480047011034"
"AC007349.4","0.138083485156067"
"AC007349.5","0.135572692658482"
"AC007349.7","0.13841687961594"
"AC007362.3","0.137912391804649"
"AC007364.1","0.137008029120556"
"AC007365.1","0.137008029120556"
"AC007365.3","0.13841687961594"
"AC007381.3","0.137234087632024"
"AC007383.3","0.137895235001842"
"AC007383.4","0.137912391804649"
"AC007386.2","0.137470340820322"
"AC007386.4","0.138807115813837"
"AC007389.3","0.138502408750336"
"AC007391.2","0.135768602243249"
"AC007392.3","0.136652807915165"
"AC007392.4","0.136524970131537"
"AC007403.2","0.137008029120556"
"AC007405.4","0.135572692658482"
"AC007405.6","0.137895235001842"
"AC007405.8","0.137234087632024"
"AC007422.1","0.13790388150286"
"AC007463.2","0.136652807915165"
"AC007556.3","0.137234087632024"
"AC007563.3","0.1385869734998"
"AC007563.5","0.137912391804649"
"AC007566.10","0.13790388150286"
"AC007620.3","0.13828624529757"
"AC007731.1","0.13828624529757"
"AC007740.1","0.135352174316319"
"AC007743.1","0.134272540962624"
"AC007750.5","0.138083485156067"
"AC007773.2","0.136317015690968"
"AC007796.1","0.139137552195218"
"AC007879.1","0.138405601955291"
"AC007879.2","0.134581694869421"
"AC007879.3","0.136652807915165"
"AC007879.4","0.13828624529757"
"AC007879.5","0.137191254754177"
"AC007879.6","0.139901668288791"
"AC007879.7","0.134089126369048"
"AC007880.1","0.138807115813837"
"AC007906.1","0.13828624529757"
"AC007950.1","0.135590601959882"
"AC007950.2","0.138041787141211"
"AC007966.1","0.138942553870703"
"AC008060.7","0.13828624529757"
"AC008063.2","0.135768602243249"
"AC008063.3","0.138083485156067"
"AC008067.2","0.136300150852688"
"AC008069.1","0.13644757432775"
"AC008073.7","0.138405601955291"
"AC008073.9","0.136652807915165"
"AC008074.1","0.136317015690968"
"AC008074.3","0.137234087632024"
"AC008074.4","0.138842467131473"
"AC008079.10","0.138480047011034"
"AC008079.9","0.137912391804649"
"AC008088.4","0.134272540962624"
"AC008132.15","0.138807115813837"
"AC008154.4","0.138779326304021"
"AC008154.5","0.13790388150286"
"AC008268.1","0.138083485156067"
"AC008269.2","0.136300150852688"
"AC008271.1","0.136562073354018"
"AC008277.1","0.136355564745913"
"AC008278.2","0.13841687961594"
"AC008440.10","0.137234087632024"
"AC008440.5","0.137470340820322"
"AC008522.1","0.137863088756875"
"AC008592.4","0.13828624529757"
"AC008592.7","0.137191254754177"
"AC008592.8","0.137191254754177"
"AC008686.1","0.138008188977442"
"AC008691.1","0.136317015690968"
"AC008697.1","0.136355564745913"
"AC008703.1","0.137191254754177"
"AC008746.12","0.136806875336912"
"AC008746.3","0.13992524847564"
"AC008753.4","0.134770578815514"
"AC008753.6","0.136526414114414"
"AC008781.7","0.136526414114414"
"AC008937.2","0.137008029120556"
"AC008937.3","0.138615455662437"
"AC008940.1","0.13644757432775"
"AC008991.1","0.139452693721156"
"AC009005.2","0.137234087632024"
"AC009014.3","0.135800264404046"
"AC009022.1","0.134089126369048"
"AC009060.2","0.138480047011034"
"AC009060.3","0.134770578815514"
"AC009065.4","0.1385869734998"
"AC009095.4","0.137234087632024"
"AC009110.1","0.140932913846395"
"AC009120.10","0.136317015690968"
"AC009120.11","0.136355564745913"
"AC009120.4","0.137234087632024"
"AC009120.5","0.137912391804649"
"AC009133.12","0.136524970131537"
"AC009133.15","0.134135236236894"
"AC009133.17","0.133396096840299"
"AC009133.21","0.136526414114414"
"AC009158.1","0.137008029120556"
"AC009227.2","0.136317015690968"
"AC009228.1","0.137234087632024"
"AC009229.6","0.137191254754177"
"AC009236.2","0.137008029120556"
"AC009262.2","0.134089126369048"
"AC009264.1","0.13841687961594"
"AC009276.4","0.136524970131537"
"AC009299.2","0.136526414114414"
"AC009299.3","0.13644757432775"
"AC009303.1","0.13790388150286"
"AC009312.1","0.13790388150286"
"AC009313.1","0.137191254754177"
"AC009336.19","0.136317015690968"
"AC009365.4","0.136652807915165"
"AC009403.2","0.136562073354018"
"AC009404.2","0.13644757432775"
"AC009410.1","0.137008029120556"
"AC009473.1","0.138083485156067"
"AC009478.1","0.13790388150286"
"AC009480.3","0.135857031057219"
"AC009487.4","0.136562073354018"
"AC009495.2","0.137912391804649"
"AC009495.3","0.135590601959882"
"AC009495.4","0.134770578815514"
"AC009501.4","0.13644757432775"
"AC009502.4","0.135572692658482"
"AC009505.2","0.13790388150286"
"AC009505.4","0.135800264404046"
"AC009506.1","0.135768602243249"
"AC009508.1","0.136526414114414"
"AC009518.4","0.13828624529757"
"AC009518.8","0.138502408750336"
"AC009542.2","0.137191254754177"
"AC009784.3","0.136562073354018"
"AC009892.10","0.135800264404046"
"AC009948.5","0.138405601955291"
"AC009950.2","0.136317015690968"
"AC009955.8","0.135800264404046"
"AC009961.3","0.138405601955291"
"AC010082.2","0.137912391804649"
"AC010084.1","0.137912391804649"
"AC010091.1","0.135800264404046"
"AC010096.1","0.136524970131537"
"AC010127.3","0.134272540962624"
"AC010132.10","0.137191254754177"
"AC010136.2","0.13828624529757"
"AC010149.4","0.137234087632024"
"AC010226.4","0.136524970131537"
"AC010287.1","0.139901668288791"
"AC010468.2","0.137501831634967"
"AC010504.2","0.137234087632024"
"AC010524.2","0.136652807915165"
"AC010524.4","0.13644757432775"
"AC010525.4","0.137895235001842"
"AC010547.9","0.137501831634967"
"AC010641.1","0.133186717718399"
"AC010642.1","0.136317015690968"
"AC010649.1","0.138615455662437"
"AC010729.2","0.136526414114414"
"AC010731.4","0.137912391804649"
"AC010745.4","0.134135236236894"
"AC010746.3","0.136524970131537"
"AC010761.10","0.136652807915165"
"AC010761.13","0.135572692658482"
"AC010761.14","0.138083485156067"
"AC010761.6","0.137895235001842"
"AC010761.8","0.136526414114414"
"AC010761.9","0.136355564745913"
"AC010883.5","0.136526414114414"
"AC010884.1","0.137895235001842"
"AC010890.1","0.137008029120556"
"AC010894.3","0.13790388150286"
"AC010894.5","0.134930341224736"
"AC010907.2","0.138405601955291"
"AC010907.5","0.137008029120556"
"AC010967.2","0.13828624529757"
"AC010969.1","0.137912391804649"
"AC010974.3","0.137501831634967"
"AC010976.2","0.137470340820322"
"AC010983.1","0.137191254754177"
"AC010987.5","0.13644757432775"
"AC010987.6","0.138911300124674"
